=== local docker images from vouch builds (FROM scratch + GAR-tagged) ===
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260605075131-2a81d729c/image:k260605075131-2a81d729c 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260605075131-2a81d729c/vouch:k260605075131-2a81d729c 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260605075134-d340a5297/vouch:k260605075134-d340a5297 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260605164118-34cf36951/image:k260605164118-34cf36951 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529134650-5bd62114e/image:k260529134650-5bd62114e 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529134650-5bd62114e/vouch:k260529134650-5bd62114e 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529152747-6056b3abe/image:k260529152747-6056b3abe 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529152748-ee2775af5/vouch:k260529152748-ee2775af5 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260603133210-308617338/vouch:k260603133210-308617338 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260605075134-d340a5297/image:k260605075134-d340a5297 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260606020332-b04b84ebd/vouch:k260606020332-b04b84ebd 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260524151919-b34a157a4/image:k260524151919-b34a157a4 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260524151919-b34a157a4/vouch:k260524151919-b34a157a4 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260603133209-e98325dca/image:k260603133209-e98325dca 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260605164118-34cf36951/vouch:k260605164118-34cf36951 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260606020332-b04b84ebd/image:k260606020332-b04b84ebd 1b6a27cf8d31 143MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_df/rbrd:tripwire 08495fc99033 1.42kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524155851-r260524155855/pouch:c260524155851-r260524155855 ed9859ab74c1 153kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260529160644-r260529160655/pouch:c260529160644-r260529160655 ed9859ab74c1 153kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603141249-r260603141252/pouch:c260603141249-r260603141252 ed9859ab74c1 153kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260603140257-r260603140300/pouch:c260603140257-r260603140300 92c11d58e465 4.75kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260524154843-r260524154846/pouch:c260524154843-r260524154846 92c11d58e465 4.75kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260529155710-r260529155722/pouch:c260529155710-r260529155722 92c11d58e465 4.75kB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/c260605081930-r260605081935/pouch:c260605081930-r260605081935 92c11d58e465 4.75kB
